Full context	Stimulus_animacy	Construction_type	Verb	Stimulus_encoding	Participle_case
 Тогда команды не сумели доиграть матч до конца, так как обиженные на соперников, судей и болельщиков армейцы в знак протеста покинули площадку.  [Кулаком в ухо. Спорт (2002) // «Известия», 2002.01.10] [омонимия не снята]	anim	long	obidet	lexical	nom
 Вадим Михайлов, обиженный на мэрию, чувствует себя уверенно.  [Геннадий Анисимов. Провальная карта. Столичные власти решили выяснить, что у них под ногами (2001) // «Известия», 2001.12.23] [омонимия не снята]	anim	long	obidet	lexical	nom
 Она, смертельно обиженная на колонизацию Корейского полуострова японцами, договора не подписала.  [Георгий Бовт. Уроки Джона Фостера Даллеса. 50 лет назад СССР не подписал Договор Сан-Франциско с Японией (2001) // «Известия», 2001.09.11] [омонимия не снята]	inan	long	obidet	lexical	nom
  Досталось там пару раз и нам, в 58-м году, когда местные парни, обиженные на своих подруг, явно отдававших предпочтение «питерским», решили сквитаться, легко определив нас по однотипным летным меховым курткам.  [Александр Городницкий. «И жить еще надежде» (2001)] [омонимия не снята]	anim	long	obidet	lexical	nom
 Послушав стихи Кушнера, Стругацкий заявил, что его любимый поэт Андрей Вознесенский, а Кушнер сказал, что не любит фантастики и литературой ее не считает.  Оба ушли, почему-то обиженные на меня.   В 78-м-79-м годах, в 21-м и 23-м рейсах «Дмитрия Менделеева», мне довелось много плавать в северной части Тихого океана ― от Токио до Сан-Франциско и дважды заходить на Гавайские острова.  [Александр Городницкий. «И жить еще надежде» (2001)] [омонимия не снята]	anim	long	obidet	lexical	nom
 Даже шляпа, небрежно брошенная в угол, казалась помятой и обиженной на весь мир.  [Марина Дяченко, Сергей Дяченко. Магам можно все (2001)] [омонимия не снята]	inan	long	obidet	lexical	other
 Не иначе как обиженный на гонщика японский фотограф призвал на него небесную кару.  [Борис Мурадов. Гран При Европы: вперед в прошлое (2001) // «Формула», 2001.08.15] [омонимия не снята]	anim	long	obidet	lexical	nom
 Она попыталась открыть дверь, но, видимо, дверь, еще смертельно обиженная на меня, теперь не открывалась.  [Фазиль Искандер. Ночной вагон // «Знамя», 2000] [омонимия не снята]	anim	long	obidet	lexical	nom
 Главных «оппозиционеров» не было: Миронов, Фомин и Юркин отбыли в командировки, в «восьмерку» Страхова въехал какой-то придурок, и разборка с гаишниками заняла чуть не всю вторую половину дня, хотя, собственно, и разбираться было не в чем, Юрия Эма вызвали в суд в связи с иском, поданным обиженным на его статью олигархом…  [Лев Корнешов. Газета (2000)] [омонимия не снята]	inan	long	obidet	lexical	other
 ― вмешивался Кувычко, навсегда обиженный на власть за то, что сначала уволили из вооруженных сил, а потом посадили его отца, кавалера трех георгиевских крестов, полученных в царской армии, каковой факт он преступно скрыл.  [Александр Чудаков. Ложится мгла на старые ступени (1987-2000) // «Знамя», 2000] [омонимия не снята]	anim	long	obidet	lexical	nom
 Их просто выставили из школы, а учительница литературы, все еще обиженная на Лильку за измену глубоко прекрасному, сказала:  [Галина Щербакова. Восхождение на холм царя Соломона с коляской и велосипедом (2000)] [омонимия не снята]	anim	long	obidet	lexical	nom
  Россия увидела себя со стороны в этой трагедии ― бывшая сверхдержава, тонущая под грузом своих ошибок и обиженная на всех из-за необходимости запрашивать иностранную помощь.  [Они о нас (2000) // «Коммерсантъ-Власть», 2000.08.29] [омонимия не снята]	anim	long	obidet	lexical	nom
 А Коропенко сидит в землянке, ножки свесил, лицо обиженное на жизнь, словно бы опять проявлено к нему недоверие, от почетного дела отстранили.  [Г. Я. Бакланов. Жизнь, подаренная дважды (1999)] [омонимия не снята]	inan	long	obidet	lexical	nom
 Черномырдин, еще с марта 1998 года обиженный на Кремль из-за своей отставки и явно мучающийся положением политика с гаснущей популярностью, воссиял.  [Виктор Баранец. Генштаб без тайн. Книга 2 (1999)] [омонимия не снята]	anim	long	obidet	lexical	nom
 Бывшие супруги Рябковы натянуто и вежливо улыбались злобным голосам, оравшим друг на друга через всю квартиру, ставшую сквозной, а когда ленивая соседка, много лет обиженная на Эльвиру Эриковну, принесла им миску подгорелых пончиков, бывших на вкус как елочные, из крашеной ваты шары, Тануся светски предложила ей остатки коньяку.  [Ольга Славникова. Стрекоза, увеличенная до размеров собаки (1995-1999)] [омонимия не снята]	anim	long	obidet	lexical	nom
  ― Картинка или наркомана, или подростка, обиженного на весь мир, ― поморщилась Ольга.  [Сергей Таранов. Мстители (1999)] [омонимия не снята]	inan	long	obidet	lexical	other
 Собирает тогда осиротевший и оскорбленный молодой человек этот отряд из арендаторов своих бывших, сильно обиженных на самоуправство господаря, и глухой осенней ночью поджигает отчий дом, отошедший ныне в чужие заграбастые руки.  [Борис Васильев. Картежник и бретер, игрок и дуэлянт (1998)] [омонимия не снята]	inan	long	obidet	lexical	other
  Некоторый брат, обиженный на другого, пришел к авве Сисою и говорит ему: такой-то обидел меня, хочу и я отомстить за себя.  [Андрей Кураев. Протестантам о православии (1997)] [омонимия не снята]	anim	long	obidet	lexical	nom
 Есть, конечно, люди, обиженные на жизнь, которые делают вирусы, чтобы напакостить.  [Владимир Пресняков. Говорит и показывает Москва (1997) // «Столица», 1997.08.26] [омонимия не снята]	inan	long	obidet	lexical	nom
  ― Ничего не понимаю, ― сержант отошел, явно обиженный и на меня, и на умы человечества.  [Андрей Лазарчук, Михаил Успенский. Посмотри в глаза чудовищ (1996)] [омонимия не снята]	anim	long	obidet	lexical	nom
 Если нам удастся раздуть конфликт между ним и другими руководителями Министерства обороны, обиженные на него военные отвернутся от Президента.  [Александра Маринина. Не мешайте палачу (1996)] [омонимия не снята]	anim	long	obidet	lexical	nom
 По-моему, эта «перестройка» была необходима: неужели обиженные на новый формат поклонники журнала не помнят, как неудобно было раньше его хранить, ― экземпляры занимали много места, пылились, желтели…  [Почта одной статьи // «Знание ― сила», 1988] [омонимия не снята]	inan	long	obidet	lexical	nom
  ― А у меня баба на двенадцать лет старше, ― вел свое Чернобесов, обиженный на свою судьбу.  [Владимир Личутин. Любостай (1987)] [омонимия не снята]	inan	long	obidet	lexical	nom
 Он не палач, он помело, растутыра, обиженный на всех.  [Владимир Личутин. Любостай (1987)] [омонимия не снята]	anim	long	obidet	lexical	nom
 Шут же спокойно вернулся на свое место, хмурый и насупленный, точно обиженный на весь мир.  [Юрий Вяземский. Шут (1982)] [омонимия не снята]	inan	long	obidet	lexical	nom
 Совсем недавно он был готов бежать из мясного буфета, сейчас же он сидел чуть ли не обиженным на Кармадона: тот его не замечал.  [Владимир Орлов. Альтист Данилов (1980)] [омонимия не снята]	anim	long	obidet	lexical	other
 Был он опять в белом бедуинском капюшоне, выглядел расстроенным и даже как будто бы обиженным на Данилова.  [Владимир Орлов. Альтист Данилов (1980)] [омонимия не снята]	anim	long	obidet	lexical	other
…  А смертельно обиженный на весь белый свет старший Клопин, Костя, поступивший в Политехнический институт только на следующий год, устраивался в этот теплый осенний период на работу слесарем на паровозовагоноремонтный завод, продолжая по вечерам упорно танцевать в темноте.  [Евгений Попов. Младший Битков и старший Клопин (1970-1980)] [омонимия не снята]	inan	long	obidet	lexical	nom
 Тогда же, обиженный не только на механика, но и «на весь мир», он бросил работу.  [Вадим Пеунов. Дело принял адвокат (1978)] [омонимия не снята]	anim	long	obidet	lexical	nom
  Домой пришли мы обиженные друг на друга.  [Юрий Казаков. Свечечка (1973)] [омонимия не снята]	anim	long	obidet	lexical	nom
 Белый петух этот, который всегда забивал и терпеть, наверно, не мог глазуновского петуха, казался смертельно обиженным на весь свет, на людей, на снег, на холод, и еще казалось, будто он пожелтел на снегу от этой обиды и злости.  [Георгий Семенов. Приезд сына (1963)] [омонимия не снята]	inan	long	obidet	lexical	other
 Крутая беседа в салоне привела к тому, что Гавриленков перестал чувствовать себя обиженным на весь человеческий род, отлично довоевал войну и остался на сверхсрочной.  [Юрий Герман. Дорогой мой человек (1961)] [омонимия не снята]	inan	long	obidet	lexical	other
 Сидел злой и обиженный на весь свет.  [О. Куприн. Река человеческих дел // «Огонек», 1961] [омонимия не снята]	inan	long	obidet	lexical	nom
  Он сочинил несколько строк письма: "Узнав о случившемся, ты обрадована не тому, что я раздавлен, а тому, что ты успела бежать от меня, и ты благословляешь свой крысиный инстинкт, заставивший тебя покинуть тонущий корабль… один я…"  [Василий Гроссман. Жизнь и судьба, часть 3 (1960)] [омонимия снята]	inan	null	obradovat	lexical	
  Вы, несомненно, помните, как я был обрадован нашему знакомству в Нью-Йорке несколько лет назад.  [Александр Избицер. О Георгии Пантелеймоновиче Макогоненко (2003) // Интернет-альманах «Лебедь», 2003.06.16] [омонимия не снята]	inan	cop	obradovat	lexical	
 Приехали в Комарово.  Анна Андреевна была очень обрадована сюрпризу.  В ее домике в Комарово, который она, как известно, называла «будка», была маленькая веранда, где стоял длинный стол и диванчик, на который обычно укладывали тех, кто уже не мог сидеть после, когда бывала выпивка.  [Алексей Щеглов. Фаина Раневская: вся жизнь (2003)] [омонимия не снята]	inan	cop	obradovat	lexical	
 Здесь только хочу добавить, что Сталин правильно понимал, что если бы Госплан знал о наличии такого резерва, то расходовал бы его, и мы остались бы без достаточного резерва.   Я был обрадован такому шагу Сталина.  Я даже удивился, что он отошел от своего отношения к золоту.  [Анастас Микоян. Так было (1971-1974)] [омонимия не снята]	inan	cop	obradovat	lexical	
  Я был обрадован встрече с заместителем начальника Политуправления Красной Армии: он-то знает обстановку, с ним можно будет разрешить все вопросы дальнейшей работы.  [Роман Кармен. Но пасаран! [Ч. 1] (1972)] [омонимия не снята]	inan	cop	obradovat	lexical	
 Двадцативосьмилетний процветающий Гульельмо Маркони был обрадован визиту гораздо больше, чем посещению его радиорубки за несколько дней до того русским императором.  [В. П. Карцев. Приключения великих уравнений (1970)] [омонимия не снята]	inan	cop	obradovat	lexical	
 Должно быть, осмелел.   Сфинкс удивлен и обрадован информированностью Слепого.  Табаки потрясен поведением Рыжего.  [Мариам Петросян. Дом, в котором... (2009)] [омонимия не снята]	inan	null	obradovat	instrumental	
 В тот же день, 29 января, из Петербурга в Лондон полетела спешная депеша, в которой сообщалось, что французы чрезвычайно обрадованы известиями о наступлении Надир-шаха с большой армией на Астрахань и рассказывают, будто императрица Елизавета отозвала из Финляндии не менее тридцати полков для действий против персиян.  [Илья Торопицын. Непредсказуемый террор // «Родина», 2009] [омонимия не снята]	inan	null	obradovat	instrumental	
  Конечно, я был очень тронут и обрадован этим даром.  [А. Е. Рекемчук. Мамонты (2006)] [омонимия не снята]	inan	cop	obradovat	instrumental	
 Он не спросил как я себя чувствую, когда я ему позвонила, он был скорее раздражен, нежели обрадован моим звонком.  [Женщина + мужчина: Психология любви (форум) (2004)] [омонимия не снята]	inan	cop	obradovat	instrumental	
  3. Как ты ведешь себя, когда чем-то очень обрадована?  [Своей натуры не скроешь // «Истории из жизни», 2004] [омонимия не снята]	inan	null	obradovat	instrumental	
 Кое-какие фотоснимки предъявлены были москвичу, особисты были чрезвычайно обрадованы тем, что труды их не пропали даром и будут оценены.  [Анатолий Азольский. Глаша // «Новый Мир», 2003] [омонимия не снята]	inan	cop	obradovat	instrumental	
 Малый бизнес будет обрадован тем, что власти наконец собираются поставить уплату налога на добавленную стоимость на добровольные рельсы.  [Елена Зверева. Малышам будет легче (2003) // «Московский комсомолец», 2003.01.15] [омонимия не снята]	inan	cop	obradovat	instrumental	
 Любой человек вправе рассчитывать на подобные действия со стороны родственников и близких, но я был потрясен и до глубины души обрадован тем, что в «дело Мирилашвили» активно вмешалась столь широкая общественность.  [Анна Полянская. Кафкианский процесс в новой России (2003) // «Вестник США», 2003.06.25] [омонимия не снята]	inan	cop	obradovat	instrumental	
  помидорами ― красными, розовыми, мелкими и огромными, выросшими в степи, на солнце, и потому ― сладкими, выросшими в огородах ― и потому сочными, самыми спелыми, самыми разными, желтыми, сливками ― тоже прекрасными, помидорами ― дарами, помидорами ― шарами, помидорами ― сферами, помидорами ― живыми примерами природного изобилия, ― и людские усилия по выращиванию их ― оправданы, помидорами люди ― обрадованы, сок томатный по улицам возят бочками, но и это окажется вскоре только цветочками, потому что  зреют поздних помидоров сорта ― и округа будет соком багрянистым залита, и на всех с избытком хватит помидоров, ну а с ними и довольных разговоров о запасах на зиму обильных и о тружениках местных двужильных,  [В. Д. Алейников. Тадзимас (2002)] [омонимия не снята]	inan	null	obradovat	instrumental	
 Я был несколько ошеломлен, но обрадован его предложением: «Стасис, а почему ты предлагаешь мне?»  [Герард Васильев. Роли, которые нас выбирают (2002)] [омонимия не снята]	inan	cop	obradovat	instrumental	
  Все граждане нашей страны, которым понравилась старая модификация Honda CR-V, признанная одной из самых продаваемых моделей на отечественном рынке, будут обрадованы появлением следующего поколения этой модели.  [Официальные дилеры (2002) // «Автопилот», 2002.07.15] [омонимия не снята]	inan	cop	obradovat	instrumental	
 Он настолько обрадован был «изумительным случаем» (его слова), что напоследок не отказал себе в удовольствии «посчитать мне позвонки», то есть несколько раз сверху вниз и обратно провел по ним согнутым средним пальцем и пообещал, что в следующий раз непременно покажет меня своей практикантке, которая, безусловно, будет в восторге от хрестоматийного дистрофика.  [Виктор Слипенчук. Зинзивер (2001)] [омонимия не снята]	inan	cop	obradovat	instrumental	
  НЕ ОЧЕНЬ ОБРАДОВАН ВАШИМ ОТВЕТОМ ТЧК НЕ ПАДАЮ ДУХОМ ЗПТ Я БУДУ ПОЭТОМ ТЧК  [Владимир Войнович. Замысел (1999)] [омонимия не снята]	inan	null	obradovat	instrumental	
 Как это у вас там?  «Не очень обрадован вашим ответом…»   ― «…не падаю духом, я буду поэтом».  [Владимир Войнович. Замысел (1999)] [омонимия не снята]	inan	null	obradovat	instrumental	
 Она приближалась к приемной скорее и легче обычного, словно была заранее чем-то обрадована.  [Ольга Славникова. Стрекоза, увеличенная до размеров собаки (1995-1999)] [омонимия не снята]	inan	cop	obradovat	instrumental	
  Она была возбуждена и обрадована возвращением в Москву из Армении.  [Эмма Герштейн. Перечень обид (1997)] [омонимия не снята]	inan	cop	obradovat	instrumental	
 Сергий был очень обрадован тем, что поклонник его не мог признать в нем прославленного игумена.  [Дмитрий Лихачев. Сергий Радонежский и Франциск Ассизский // «Наука и религия», 1992] [омонимия не снята]	inan	cop	obradovat	instrumental	
  Впервые одна я отправилась из Мухалатки еще на рассвете и ранним утром была в Гурзуфе.   Н.И. был обрадован моим приездом.  «Я предчувствовал, что сегодня ты обязательно приедешь!»  [Анна Ларина (Бухарина). Незабываемое (1986-1990)] [омонимия не снята]	inan	cop	obradovat	instrumental	
 Вскоре мы уже въезжали в огромную, по нашим меркам, трехкомнатную отдельную квартиру на окраине Москвы (с окнами на парк, правда сильно замусоренный; но однажды оттуда к нам забежал заяц; не только дети, но и я были этим сильно обрадованы).  [А. Д. Сахаров. Воспоминания (1983-1989)] [омонимия не снята]	inan	cop	obradovat	instrumental	
  В этот приезд свой Сергей привез мне огромный разноцветный мяч в сетке, а Кате много ярких разноцветных шелковых лент и бусы.  Я была обрадована этими подарками.  Я видела шелковые ленты и раньше, но в основном красные да по одной штуке, а тут их было не меньше десятка, и все разных цветов.  [А. А. Есенина. Родное и близкое (1960-1979)] [омонимия не снята]	inan	cop	obradovat	instrumental	
 Тогда мне пришлось переживать тяжелые, безрадостные минуты, и помню, как я был обрадован манифестом 17 октября, помню, как все встретили его как светлый праздник… 1906 год был очень тяжелым для меня.  [Ю. В. Трифонов. Старик (1978)] [омонимия не снята]	inan	cop	obradovat	instrumental	
 А может, в тайнике сердца была обрадована возможностью высказать — пусть косвенно — свое настоящее отношение к выбору Петра Ильича, достойному какого-нибудь помощника столоначальника, но никак не гения.  [Ю. М. Нагибин. Как был куплен лес (1972-1977)] [омонимия не снята]	inan	cop	obradovat	instrumental	
 Они были очень обрадованы нашим решением: оно облегчало борьбу с мусаватистами.  [Анастас Микоян. Так было (1971-1974)] [омонимия не снята]	inan	cop	obradovat	instrumental	
 Заведующий ― благообразный, худощавый и спокойный человек, был удивлен и обрадован приходом известных писателей.  [M. Д. Ройзман. Из книги «Все, что помню о Есенине» (1963-1970)] [омонимия не снята]	inan	cop	obradovat	instrumental	
  Гриф Рифт возник перед ней в трех, увы, непереходимых шагах ― он был обрадован внепрограммной встречей.  [И. А. Ефремов. Час быка (1968-1969)] [омонимия не снята]	inan	cop	obradovat	instrumental	
  Кира была обрадована такой встречей и смущена, и щеки ее разгорелись, видно было, что жар ей трудно унять, а Маша, затаив дыхание, ловила каждое ее слово, следила за каждым ее движением, а когда та протянула к ней руку, быстро спряталась за деда.  [Л. Ф. Зуров. Иван-да-марья (1956-1969) // «Звезда», 2005] [омонимия не снята]	inan	cop	obradovat	instrumental	
  Но от Иоганна не укрылось и то, что Зубов, в глубине души жаждавший быть главарем в предстоящем деле, обрадован его отказом.  [Вадим Кожевников. Щит и меч. Книга вторая (1968)] [омонимия не снята]	inan	null	obradovat	instrumental	
  Вайс был необыкновенно счастлив и обрадован тем, что документы Зубова у него в руках.  [Вадим Кожевников. Щит и меч. Книга вторая (1968)] [омонимия не снята]	inan	cop	obradovat	instrumental	
 Поэтому он был удивлен и обрадован неожиданным сообщением Варвары Вахтанговны, которую навещал каждый день, что она получила бумагу из министерства внутренних дел следующего содержания:  [Рюрик Ивнев. У подножия Мтацминды (1960-1967)] [омонимия не снята]	inan	cop	obradovat	instrumental	
  «Дорогая Нина, очень тронут и обрадован Вашим письмом.  [Н. Н. Берберова. Курсив мой (1960-1966)] [омонимия не снята]	inan	null	obradovat	instrumental	
 Ярославич был очень обрадован подобным благоволением небес, но, увы, даже ноготь мученика не исцелил болячек.  [А. П. Ладинский. Анна Ярославна ― королева Франции (1960)] [омонимия не снята]	inan	cop	obradovat	instrumental	
  Вечером «крохалланы» были обрадованы отличным настроением своего друга, который в последние дни огорчал их мрачными разговорами.  [Р. Я. Райт-Ковалева. Роберт Бернс (1959)] [омонимия не снята]	inan	cop	obradovat	instrumental	
 Она была очень обрадована количеством и качеством.  [А. Т. Твардовский. Из рабочих тетрадей (1955) // «Знамя», 1989] [омонимия не снята]	inan	cop	obradovat	instrumental	
 Он был очень утомлен и не слишком обрадован перспективой провести бессонную ночь у одра умирающего чужестранца.  [Роберт Штильмарк. Наследник из Калькутты (1950-1951)] [омонимия не снята]	inan	cop	obradovat	instrumental	
 А тут мы обрадованы ничего нам не стоящим равенством с ним в силе зрения: «Ах, как это верно, я точно так это видел и знал, мы с ним одинаково это понимаем».  [А. Т. Твардовский. Рабочие тетради 60-х годов (1969) // «Знамя», 2004] [омонимия не снята]	inan	null	obradovat	instrumental	
 ― обрадованный «свежим ушам», рассказывал и рассказывал Валера.  [Татьяна Соломатина. Сонина Америка (2010)] [омонимия не снята]	inan	long	obradovat	lexical	nom
 Но Лидия Кондратьева выглядела очень обрадованной встрече, обняла Катю, сказала:  [Дина Рубина. На солнечной стороне улицы (1980-2006)] [омонимия не снята]	inan	long	obradovat	lexical	other
 Утомленная от безделья и обрадованная нам служительница показала музыкальную книгу детей Достоевского, привезенную им из Германии, ― играющую музыку при переворачивании страниц.  [Александр Вяльцев. Путешествия в одну сторону (1985-2000) // «Звезда», 2001] [омонимия не снята]	anim	long	obradovat	lexical	nom
 ― ответил Никитин, обрадованный приходу Княжко, испытывая странное подспудное чувство какого-то далекого июльского утра в замоскворецких тупичках, с солнцем над заборами и тополиным пухом на мостовой.  [Юрий Бондарев. Берег (1975)] [омонимия не снята]	inan	long	obradovat	lexical	nom
  На поляне, впереди за дымом, в жарком безмолвии без единого выстрела извивалось пламя, горело лесничество, справа и слева от пожара звучали весело-злые голоса пехоты, видимо, обрадованной своему завершенному броску к дому, нереальные осколочные звуки существ с другой планеты, не понимающих, что случилось, никогда не неимущих того, что случилось сейчас в мире.  [Юрий Бондарев. Берег (1975)] [омонимия не снята]	inan	long	obradovat	lexical	other
 Нюра эти запахи сразу впитала в себя, и душа ее, невольно обрадованная близкому жилью, чуть оживилась.  [Владимир Личутин. Вдова Нюра (1973)] [омонимия не снята]	inan	long	obradovat	lexical	nom
 И вот теперь, обрадованный приездом товарища, дачник простодушно рассказал другу детства об Ане.  [Алексей Варламов. Купавна // «Новый Мир», 2000] [омонимия снята]	inan	long	obradovat	instrumental	nom
 Галина, конечно, пригласила его к нам присоединиться, и Борис Сергеевич, обрадованный вниманием, присоединился…  [И. Э. Кио. Иллюзии без иллюзий (1995-1999)] [омонимия снята]	inan	long	obradovat	instrumental	nom
 Обрадованный неожиданной поддержкой, я решил воспользоваться случаем порасспросить его о "тамошней" жизни (не американской, а загробной), он отмахнулся, жуя: "Да я там редко бываю…  [Андрей Битов. Рассеянный свет (1981)] [омонимия снята]	inan	long	obradovat	instrumental	nom
  ― Конечно, сэр! ― воскликнул он, обрадованный тем, что я, наконец, начал понимать его.  [Виталий Губарев. Трое на острове (1950-1960)] [омонимия снята]	inan	long	obradovat	instrumental	nom
  — Нет, это не будет банкетом, — говорит председатель, обрадованный отсутствием Некроманта.  [Сергей Носов. Фигурные скобки (2015)] [омонимия не снята]	inan	long	obradovat	instrumental	nom
  – Ну вы даете, Владислав Николаевич, – расхохотался Антон, обрадованный тем, что поход в поликлинику откладывается хотя бы на пять минут.  [Александра Маринина. Последний рассвет (2013)] [омонимия не снята]	inan	long	obradovat	instrumental	nom
  Обрадованный первой затяжкой и ободренный Мишиным располагающим к себе лицом, пациент решил поделиться последними впечатлениями:  [Максим Жуков. Третья степень // «Сибирские огни», 2012] [омонимия не снята]	inan	long	obradovat	instrumental	nom
  Касымов рванул на груди чапан, стремясь распахнуть его ещё шире, материя затрещала, и, обрадованный этим треском, Тимур стал неуклюже и яростно сдирать чапан с себя.  [Евгений Чижов. Перевод с подстрочника (2012)] [омонимия не снята]	inan	long	obradovat	instrumental	nom
 Будет исполнено, сэр!  ― рявкнул обрадованный таким поворотом разговора камердинер.   ― В чем в чем, а уж в этом я не сомневаюсь!  [Николай Дежнев. Принцип неопределенности (2009)] [омонимия не снята]	inan	long	obradovat	instrumental	nom
 Курильщик, обрадованный приказом Слепого, честно спешит добраться до спальни.  [Мариам Петросян. Дом, в котором... (2009)] [омонимия не снята]	inan	long	obradovat	instrumental	nom
  Маленький мальчик подобрал тонкую металлическую пластинку и, обрадованный находкой, бросился что есть духу домой.  [Анатолий Радов. Георг // «Наука и жизнь», 2009] [омонимия не снята]	inan	long	obradovat	instrumental	nom
  Валерка, обрадованный тем, что все-таки сумел заинтересовать друга, заторопился рассказывать:  [Андрей Геласимов. Степные боги (2008)] [омонимия не снята]	inan	long	obradovat	instrumental	nom
 ― засмеялся Валерка, обрадованный тем, что Петька на него больше не сердится.  [Андрей Геласимов. Степные боги (2008)] [омонимия не снята]	inan	long	obradovat	instrumental	nom
  ― С Халхин-Гола еще сидят, ― с готовностью ответил Одинцов, обрадованный тем, что майор прервал наконец затянувшееся за столом неловкое молчание.  [Андрей Геласимов. Степные боги (2008)] [омонимия не снята]	inan	long	obradovat	instrumental	nom
 …………………………..   Обрадованный слабостью моей,  он детским пальцем щекотал мне ухо.  [Василий Аксенов. Таинственная страсть (2007)] [омонимия не снята]	inan	long	obradovat	instrumental	nom
 Обрадованный проведенной Стеллером в ботаническом саду систематизацией растений, Демидов немедля начал переписку и обмен ботаническими коллекциями с такими известными русскими ботаниками и путешественниками, как главный врач Астраханского корпуса И. Лерхе и доктор медицины из Лейпцигского университета Т. Гербер, основатель и первый директор Аптекарского огорода в Москве (см.  [Л. Баньковский. Ботанический сад Григория Демидова // «Наука и жизнь», 2007] [омонимия не снята]	inan	long	obradovat	instrumental	nom
 Затем молча вышел и, хотя мама, обрадованная таким проявлением живого человеческого чувства, пыталась поблагодарить его и даже завязать беседу, словно потерял к ней и к картине всякий интерес.  [Ирина Павская. «Джоконда» Мценского уезда (2006)] [омонимия не снята]	inan	long	obradovat	instrumental	nom
  Орлицкий и Анна, несказанно обрадованные подоспевшей подмогой, заговорили разом, спеша объяснить случившееся.  [А. Е. Рекемчук. Мамонты (2006)] [омонимия не снята]	inan	long	obradovat	instrumental	nom
  Очень обрадованный этим вопросом, я закивал, раскрыл ладошку, в которой был потный рубль: я так и ехал с ним всю дорогу, даже во сне не разжимая кулачка, ― вот.  [А. Е. Рекемчук. Мамонты (2006)] [омонимия не снята]	inan	long	obradovat	instrumental	nom
 Обрадованный моим появлением консьерж тут же попросил внести плату за охрану за два месяца.  [Татьяна Сахарова. Добрая фея с острыми зубками (2005)] [омонимия не снята]	inan	long	obradovat	instrumental	nom
 Обрадованные благополучным исходом дела, мы поторопились на улицу.  [Татьяна Сахарова. Добрая фея с острыми зубками (2005)] [омонимия не снята]	inan	long	obradovat	instrumental	nom
 Священник, удивленный и обрадованный визитом гостя из России, угостил кагором.  [Иван Гусев. В поисках Грааля (2004) // «За рулем», 2004.04.15] [омонимия не снята]	inan	long	obradovat	instrumental	nom
 ― Обрадованный возможностью увильнуть от суходеловских побасенок, Забелин выдернул из портмоне пластиковую карту банка «Возрождение».  [Семен Данилюк. Рублевая зона (2004)] [омонимия не снята]	inan	long	obradovat	instrumental	nom
 Еще показалось, что Писсаридзе слишком осмелел после отпуска, обрадованный притоком клиентов, он ласково потрепал Инку по щеке:  [Улья Нова. Инка (2004)] [омонимия не снята]	inan	long	obradovat	instrumental	nom
  Обрадованный этой мыслью, я бросился к компьютеру.  [Саша Бородин. Конец подкрался незаметно (2003) // Интернет-альманах «Лебедь», 2003.11.23] [омонимия не снята]	inan	long	obradovat	instrumental	nom
