Full context	Stimulus_animacy	Construction_type	Verb	Stimulus_encoding	Participle_case
  ― Не прибедняйся, Страхов, ты тоже богом не обижен, и на твоих плечах голова, а не кочан капусты.  [Лев Корнешов. Газета (2000)] [омонимия не снята]	anim	null	obidet	instrumental	
 Меттер был обижен смещением с редакторского кресла, Орлов, как мне рассказывал один из наших авторов, жаловался на то, что я слишком строг и не даю никому дух перевести.  [Евгений Рубин. Пан или пропал. Жизнеописание (1999-2000)] [омонимия не снята]	inan	cop	obidet	instrumental	
 Поскольку успех мне сопутствовал достаточно долго и много, то у меня никогда не было ущербного, ущемленного чувства, что я кем-то обижена.  [Виталий Сычевский. Ирина Мирошниченко: «Любовь ― это огромный стимул» (2000) // «Семья», 2000.01.19] [омонимия не снята]	anim	null	obidet	instrumental	
 Нет, мы не ссорились, но видеться стали один-два раза в неделю.  Он мне не доверяет, чем-то обижен.  Работа у него не ладится, как говорил Канский, который заходит к нам по старой дружбе.  [Николай Амосов. Голоса времен (1999)] [омонимия не снята]	inan	null	obidet	instrumental	
 Все повторялось: недостаток сведений о главе «РВ» нередко возмещался буйными фантазиями, а некоторые оценки его деятельности делались явно с подачи тех «специалистов», которые были либо обижены смещением с постов в «Росвооружении», либо их положение при Рапоте стало менее престижным, чем при Ананьеве.  [Виктор Баранец. Генштаб без тайн. Книга 2 (1999)] [омонимия не снята]	inan	cop	obidet	instrumental	
 Удивляет и неиссякаемое желание помочь России, хотя он Россией обижен.  [Борис Немцов. Провинциал в Москве (1999)] [омонимия не снята]	anim	null	obidet	instrumental	
 [Клара, жен]   Я не понимаю, что вы имеете в виду, а если и понимаю, то все равно обижена тоном, которым все это сказано.  [Р. А. Белецкий. Соня (1998)] [омонимия не снята]	inan	null	obidet	instrumental	
  Так и мне казалось, что те публицисты, которые вышли на передний план в годы перестройки и стали обличать советский народ, просто были обижены судьбой и нуждались в особенно бережном отношении общества.  [С. Г. Кара-Мурза. «Совок» вспоминает свою жизнь (1998)] [омонимия не снята]	inan	cop	obidet	instrumental	
 Это была новость для всех, включая и капитана.  Он был этим заметно обижен.   ― У меня был приказ не о приглашении, а о задержании!  [Сергей Осипов. Страсти по Фоме. Книга первая. Изгой (1998)] [омонимия не снята]	inan	cop	obidet	instrumental	
 Решительно ― оно обижено на вас чем-то и от обиды нарочно не разорвалось.  [Олег Павлов. Степная книга (1990-1998)] [омонимия не снята]	inan	null	obidet	instrumental	
 И если Маринка чем-то обижена и расходилась не на шутку, то он не против легкой драки.  [Рустам Арифджанов, Василий Гулин. 14 способов укрепления семьи (1997) // «Столица», 1997.07.15] [омонимия не снята]	inan	null	obidet	instrumental	
  Дядя Вася-Ваня успел-таки убедить ее, что именно так и должно быть, что чеховский дядя Ваня чем-то обижен от природы…  [Сергей Залыгин. Ирунчик // «Новый мир», 1997] [омонимия не снята]	inan	null	obidet	instrumental	
 Дети тех, кто был обижен Советской властью, дети сосланных кулаков, разгромленного духовенства, остатки дворянских родов скрывали свое происхождение, чтобы попасть в армию или в ополчение и встать на защиту страны: они защищали не Сталина, а Россию.  [Григорий Чухрай. 9 мая ― День Победы // «Оренбуржье», 1997] [омонимия не снята]	anim	cop	obidet	instrumental	
  Во-первых, оба высокомерно не различали шаманизм и ламаизм; во-вторых, тувинские шаманы были настолько крепко обижены первооткрывателем Азии, что их молитвами во младенце воплотился отнюдь не Будда, но владыка Царства мертвых Эрлик.  [Андрей Лазарчук, Михаил Успенский. Посмотри в глаза чудовищ (1996)] [омонимия не снята]	anim	cop	obidet	instrumental	
 Она и без того уже жизнью обижена.  [Александра Маринина. Иллюзия греха (1996)] [омонимия не снята]	inan	null	obidet	instrumental	
 Одна, даже несколько нужная по делу, секретарша из Спорткомитета, дала ему понять, что обижена его пренебрежением; вторая клиентка, молодая балерина, для которой он делал исключение, поскольку массажный стол считал рабочей поверхностью, а не местом для удовольствий, отпала сама собой, переехав в Ригу.  [Людмила Улицкая. Медея и ее дети (1996)] [омонимия не снята]	inan	null	obidet	instrumental	
 Ис. ко мне всегда (т.е. с той поры, как он в меня вгляделся и перестал подозревать, что я ему «соперница», т.е. обижена напечатаньем «Одного дня» и непечатаньем «Софьи») была именно жалость.  [Л. К. Чуковская. Александр Солженицын (1962-1995)] [омонимия не снята]	inan	null	obidet	instrumental	
 Промолчать я тогда решил, просто не желая ни соглашаться, ни не соглашаться с ним, ибо согласием сколько-то предал бы человека, которым он был невольно обижен, а несогласием эту обиду усугубил бы…  [Анатолий Найман. Славный конец бесславных поколений (1994)] [омонимия не снята]	anim	cop	obidet	instrumental	
  Тетка Августа больше всех Потылицыных обижена судьбой.  [Виктор Астафьев. Последний поклон (1968-1991)] [омонимия не снята]	inan	null	obidet	instrumental	
  Нельзя забывать и о тех наших согражданах (тут речь пойдет, наверное, тоже о нескольких миллионах, ничего не поделаешь ― страна огромная), которые искренне считают, что они обижены перестройкой, в первую очередь ее гласностью.  [Владимир Николаев. Гамбургский счет // «Огонек». № 1 (3311), 1991] [омонимия не снята]	inan	null	obidet	instrumental	
 И вот о чем я хочу сейчас говорить: о мести.  Ламех был чем-то, кем-то обижен.  Мы не знаем, кем, не знаем, чем, но для нас важно то, как он отозвался на обиду.  [митрополит Антоний (Блум). Уроки Ветхого Завета (1989-1990)] [омонимия не снята]	both	cop	obidet	instrumental	
  Это было последнее задание полковника, он был обижен скудной пенсией и предпочел молчать, чиня свою «Волгу», молчать, бегая за своими курами, ― молчать до смерти.  [Виктор Пелевин. Реконструктор (1990)] [омонимия не снята]	inan	cop	obidet	instrumental	
 Я был этим обижен, зато получил две премии ― в Дмитрове 500 рублей и на Икше 350.  [С. М. Голицын. Записки уцелевшего (1980-1989)] [омонимия не снята]	inan	cop	obidet	instrumental	
 Я обижен был равнодушием и вялостью, с которыми отреагировали на мое лихое явление.  [Давид Самойлов. Общий дневник (1977-1989)] [омонимия не снята]	inan	cop	obidet	instrumental	
 По неизвестным мне причинам в 50-х годах папа был вынужден уйти оттуда (по-видимому, он был сильно чем-то обижен администрацией).  [А. Д. Сахаров. Воспоминания (1983-1989)] [омонимия не снята]	both	cop	obidet	instrumental	
  С той поры началось для Дмитрия Шемяки неожиданное: потянулись в Вологду из Москвы и из других городов в сопровождении вооруженных людей те бояре и служивые, кто оставался верен Василию Васильевичу, но помалкивал, и те, кто шатание проявлял, и те, кто присягал Дмитрию Шемяке, а потом был им обижен.  [С. М. Голицын. Сказания о земле Московской (1968-1988)] [омонимия не снята]	anim	cop	obidet	instrumental	
 Мы с ней потеряли друг друга… Вы, кажется, обижены ею?  [В. Ф. Кормер. Наследство (1987)] [омонимия не снята]	anim	null	obidet	instrumental	
 Чернобесов даже в плясках вел себя так, словно бы обижен кем крепко, и потому вызывающе хорохорится, выставляется, чистит шпоры о землю, трясет побитым морозами гребнем, вызывая на бой, но никому до Чернобесова и дела нет, и оттого, что на мужика все ноль внимания, он еще больше досадует и хмуро ярится и негодует, тем самым вызывая насмешки.  [Владимир Личутин. Любостай (1987)] [омонимия не снята]	anim	null	obidet	instrumental	
  Нет в их домах дорогих мебельных гарнитуров, нет у них и времени задуматься, чего им в их личной жизни не хватает, не обижены ли они, часом, судьбой…  [Татьяна Шохина. Время и место рождения // «Крестьянка», 1987] [омонимия не снята]	inan	null	obidet	instrumental	
 Он, конечно, был, возможно, обижен тем, что Вы не зашли, поскольку он Вас разыскивал.  [Виктор Астафьев. Зрячий посох (1978-1982)] [омонимия не снята]	inan	cop	obidet	instrumental	
 Но если бросить на весы все это ― и то, что для нас представляет Бог, дивный, святой, вечный и готовый нас считать Своими дочерьми и сыновьями, Своими родными детьми, и все, что Бог нам в Своей неописуемой любви и щедрости дает, то по сравнению с этим все, чем мы можем быть обижены жизнью и людьми, делается таким малым!  [митрополит Антоний (Блум). Зов Божий и путь спасения (1981)] [омонимия не снята]	both	inf	obidet	instrumental	
 И батраки Гришкины могли сделать, и бывшие его дружки, с которыми он повздорил насмерть, да мало ли еще обижено им людей?  [Сергей Залыгин. Комиссия (1976)] [омонимия не снята]	anim	null	obidet	instrumental	
 Пускай у меня горб, думала она, и пусть я Богом обижена.  [Борис Хазанов. Я воскресение и жизнь (1976)] [омонимия не снята]	anim	null	obidet	instrumental	
